Statement_ID,Old_Observation_ID,Source_ID,text,label,
ST-048,O-067,SR-001,With Integral architecture - Testing of components cannot be completed in isolation,1,
ST-049,O-068,SR-001,"For the modular product, product testing and refinement is a checking activity The tests are intended to detect unanticipated interactions among the components. These interactions are viewed as 'bugs' and their resolution is usually localized to changes to one or two components.",1,
ST-050,O-069,SR-001,"For the integral product, product testing and refinement is a tuning activity. If the product performance must be altered in some way, changes are likely to be required to many components",1,
ST-051,O-071,SR-001,Highly modular designs allow firms to divide their development and production organizations into specialized groups with a narrow focus & may also extend to the supplier network of the firm.,1,
ST-052,O-072,SR-001,[Modular architecture facilitates specialization within the firm and its suppliers] Such specialization may facilitate the development of deep expertise relative to a particular functional element and its associated component.,1,
ST-053,O-073,SR-001,"Modular architectures may require better systems engineering and planning skills, ",1,
ST-054,O-074,SR-001,Integral architectures may require better coordination and integration skills. ,1,
ST-055,O-076,SR-001,Modular architecture allows functional change to be made to a product in the field.,1,
ST-057,O-078,SR-001,Integral architecture causes variety to not be feasible without flexible component production processes.,1,
ST-058,O-079,SR-001,Products can be assembled in a combinatorial fashion from a relatively small set of component building blocks to create variety,1,
ST-060,O-081,SR-001,"Slot and bus modular architecture causes variety to be confined to the choices of components within a pre-defined overall product structure. One-to-one mapping of functional elements to components prevents function sharing-the simultaneous implementation of more than one functional element by a single component-potentially resulting in physical redundancy. Standardized interfaces (in Buss Modularity) may result in additional redundancy and physical ""overhead.""",1,
ST-061,O-082,SR-001,Modular-Sectional architecture allows variety in overall structure of the product possible,1,
ST-062,O-083,SR-001,Modular architecture allows components to be standardized across a product line,1,
ST-063,O-084,SR-001,Modular architecture allows firms to use standard components provided by suppliers.,1,
ST-064,O-085,SR-001,Modular Architecture allows interfaces to adhere to an industry standard,1,
ST-066,O-088,SR-001,Modular architectures may require additional mass and space to decouple interfaces,1,
ST-067,O-089,SR-001,"Modular Architecture, when mapped with one function to each component, prevents function sharing, potentially resulting in physical redundancy",1,
ST-070,O-093,SR-001,A potential negative implication of a modular product architecture is the risk of creating organizational barriers to architectural innovation.,1,
ST-071,O-094,SR-001,Modular Architecture requires the top-down creation of a global product architecture.,1,
ST-072,O-096,SR-001,"A modular architecture enables a bureaucratic approach to organizing and managing development. This approach, for relatively well understood technologies, allows the complexity of the product development process to be dramatically reduced",1,
ST-073,O-098,SR-002,Modularization introduces a variety of products to different markets by reducing the internal variety of components and processes of a company,1,
ST-074,O-099,SR-002,"Different companies undertake modularization efforts for different reasons, ... have shown reductions in costs and development times and ... have shown the higher agility from modularity",1,
ST-075,O-100,SR-002,... showed the effects of product modularity on service and maintainance,1,
ST-076,O-101,SR-002,Modularity can reduce the time for new product development,1,
ST-077,O-102,SR-002,"We found an increase in initial time investment for the development of product families, leading to an increased initial time to market but also an increase of commonality and component reuse. This lowered development costs per unit and reduced component variety , leading to a smaller variety of production processes and subsequent lower costs.",1,
ST-078,O-103,SR-002,Modularity can cause longer development times and greater efforts needed for the initial modular architecture or platform,1,
ST-079,O-105,SR-002,"communal use of components can reduce quantity of parts or code numbers , which facilitates parts administration, thereby lowering development and manufacturing times, and therefore costs",1,
ST-080,O-106,SR-002,"communal parts when extended to large assemblies decreased performance levels and potentially increased costs become possible for some variants. Each module must be sized to the largest in its partition, taking into consideration the range of performance targets needed and partitioned into several module sizes supplying each partition",1,
ST-081,O-107,SR-002,a focus on commonality makes it possible to use modules in different product variants,1,
ST-082,O-108,SR-002,"less development costs, development times, testing costs, and certification costs are all positive effects of modularity",1,
ST-083,O-109,SR-002,commonality also allows for reducing generational diversity by using modules across product family generations.,1,
ST-084,O-110,SR-002,Modules with higher volume (as a result of reuse) increases the module maturity incrementally across generations (failure rates decrease as a result of periodic reworkings on these modules over time),1,
ST-085,O-111,SR-002,"Highly decoupled modules allow simplified adaptations to: new applications, a simpler module upgrade, or the expansion into a product family",1,
ST-086,O-112,SR-002,"initial platform development requires time, which can be amortized by the shorter execution times for individual product variants by introducing a configure to order strategy",1,
ST-087,O-113,SR-002,modularity requires some effort for the maintenance of the modular kit in checking compatibility throughout the product family when adapting and further developing modules.,1,
ST-088,O-114,SR-002,decoupling individual modules and their connections via clearly defined interfaces results in further benefits of less design modifications when developing a new product variant,1,
ST-089,O-115,SR-002,"Modularity can allow for simpler development processes, since the amount of repeated tasks, such as documentation decreases.",1,
ST-090,O-116,SR-002,"Modularity: Development tasks can be better allocated to development teams with deep functional expertise, and the organizational structure can be adapted more easily to the activities",1,
ST-091,O-118,SR-002,Modularity also enables outsourcing of development tasks to suppliers so that companies can concentrate on their own core competencies,1,
ST-092,O-119,SR-002,"Highly Decoupled modules supports Isolating modules- which allows separate testing of the individual modules, thereby reducing product-level iterative redesign loops and detecting design defects failure earlier.",1,
ST-093,O-121,SR-002,... found a lower ability to innovate because of the static boundaries in the product architecture,1,
ST-094,O-122,SR-002,"Modularity can support enhanced freedom in development, because developers can concentrate exclusively on one module, which allows for a higher degree of innovation",1,
ST-095,O-123,SR-002,"rigid systems of design rules necessary for product family structure can inhibit the ability to innovate, but innovation within these rules may be faster",1,
ST-096,O-125,SR-002,"When considering procurement, numerous authors point to the reductions of inventories due to modularity ... allocated this reduction to the reuse of same components",1,
ST-097,O-126,SR-002,"When many functions are bundled into one monolithic module and used in higher volumes across many product variants, then each variant does not need all the module functionality. unnecessary high costs can be placed onto the module.",1,
ST-098,O-128,SR-002,"Commonality decreases the number of unique processes, thereby facilitating automation",1,
ST-099,O-129,SR-002,One of the most important effects of modularity is the increase in production lot size,1,
ST-100,O-131,SR-002,The proportional curve between the increase in modularity and the reduced number of parts led to a decrease in the test and set-up cost per unit,1,
ST-101,O-132,SR-002,Increasing commonality can create a more balanced machine utilization in production,1,
ST-102,O-133,SR-002,Modular production processes enable parallelization which reduces throughput time,1,
ST-103,O-135,SR-002,Another indirect benefit [of modularity] is the reduction of product numbers ,1,
ST-104,O-136,SR-002,Modularity supports Postponement as a possible strategy for a late variant formation in different business areas.,1,
ST-105,O-137,SR-002,Introducing modularity results in better corporate risk distribution.,1,
ST-106,O-138,SR-002,"To provide a better communal usability of modules, for example, two approaches are possible: Either the interfaces must be standardized or the module has to be sized to meet the product variant with the highest requirements",1,
ST-107,O-139,SR-002,Interface standardization and oversizing enable commonality,1,
ST-108,O-140,SR-002,interface standardization and function binding enable combinability,1,
ST-109,O-141,SR-002,Decoupling enables separability,1,
ST-110,O-142,SR-002,Decoupling and Interface standarization increase initial investment time to develop- may increase or lower total development time.,1,
ST-111,O-143,SR-002,Decouplings's ease of mapping organizations to tasks allows for outsourcing development tasks- may postively or negatively influnce development time,1,
ST-112,O-144,SR-002,"Decoupling & Interface standardization increases design freedom in modules, but decreases over entire system to effect product innovation",1,
ST-113,O-145,SR-002,"Decoupling increases adaptability, upgradability and ease of mapping organisation to tasks. It lowers developmental risk",1,
ST-114,O-146,SR-002,Interface standardization increases commonality and lowers design freedom,1,
ST-115,O-147,SR-002,Commonality increases reuse which lends itself to greater reliablility and varient derivation while decreasing component variety,1,
ST-116,O-148,SR-002,"Commonality encourages Oversizing which leads to inefficiency of volume, weight and features",1,
ST-117,O-149,SR-002,Commonality increases predictability and facilitates maintaining a larger stock size which can benefit from economies of scale,1,
ST-119,O-151,SR-002,Increasing commonality of modules increases component reuse and development costs per unit decreased,1,
ST-120,O-152,SR-002,"Decoupling modules increases module reuse and adaptability, which allows for easier derivation of new products, leading to lower development times",1,
ST-121,O-153,SR-002,"Modularity allows for decoupling development tasks which makes it possible to develop in parallel and to outsouce, leading to shorter development times resulting in an earlier start of production planning and a shorter time to market",1,
ST-122,O-154,SR-002,Commonality and component reuse also raise reliability and the maturity of products,1,
ST-123,O-155,SR-002,Commonality via the oversizing of modules may decrease the efficiency of the product,1,
ST-124,O-156,SR-002,"the modularity impact model shows possible outcomes when increasing commonality of modules. Possible outcomes may be reduced amount of code numbers and component variety, making it possible to reduce the variety of differentiating stock items for parts and spare parts and with it stock and purchasing costs.",1,
ST-125,O-157,SR-002,"Increasing commonality allows for greater lot sizes, reduces set-up times and queuing delays, and also saves on inventory costs.",1,
ST-126,O-158,SR-002,"Decreasing component variety in combination with standard interfaces and function binding leads to a reduced variety of production processes with fewer investments in tools and jigs, which lowers both inventory costs and production costs per unit",1,
ST-127,O-159,SR-002,"Oversizing to increase commonality of modules may cause needless production steps, which in turn may increase production costs per unit.",1,
ST-128,O-160,SR-002,"For example, the oversizing tradeoff is typically applied on low volume products in which the increase of material costs is outweighed by the reductions in production inventory, tooling, and downtime.",1,
ST-130,O-162,SR-002,Decoupling Decreases Development Risk,1,
ST-131,O-163,SR-002,Modularity Increases Initial Time Investment (67%) and Development Time (78%),1,
ST-132,O-164,SR-002,"Decoupling increases ease of mapping organisation to tasks, parallel development, start of production planning, outsourcing of development tasks, product adaptation, adaptability upgradeability, development time, and ease of variant derivation",1,
ST-133,O-165,SR-002,"Interface Standardization decreases freedom of design (67%), Product Innovation (44%), and decreases Innovation (economic impact) (44%)",1,
ST-134,O-166,SR-002,Interface Standardization increases Imnovation (56%),1,
ST-136,O-168,SR-002,"Commonality decreases component variety (100%), Failure rate (67%), code numbers (67%), parts administration (67%), development costs per unit (100%), and parts administration time (44%)",1,
ST-138,O-170,SR-002,"Commonality decreases component variety (100%), code numbers (67%), stock (44%), stock costs (56%), no. of parts and spare parts (56%), spare parts costs (??), no. of suppliers (67%), no. of purchase orders (56%), and procurement costs (67%)",1,
ST-139,O-171,SR-002,"Commonality increases lot size (78%), predictability (67%), purchasing conditions (56%), ease of supplier management (56%), dependency on supplier (67%)",1,
ST-140,O-172,SR-002,Decoupling increases parallel production processes and manufacturing flexibility,1,
ST-142,O-174,SR-002,Combinability increases postponement and manufacturing flexibility,1,
ST-143,O-175,SR-002,Commonality increases postponement and manufacturing flexibilty,1,
ST-145,O-177,SR-002,"Commonality decreases component variety (100%), Set up changes (57%), Set up time queing delays (57%, inventory costs (71%), variety of production processes (57%), tool/jig investments (57%), inventory costs (71%)",1,
ST-146,O-178,SR-002,Oversizing increases no. of needless production steps,1,
ST-147,O-179,SR-002,"Interface Standardization decreases variety of production processes (57%), Tool/jig investments (57%), and inventory costs (71%)",1,
ST-148,O-180,SR-002,"Function binding decreases variety of production processes (57%), tool / jig investments (57%) and inventory costs (71%)",1,
ST-149,O-182,SR-003,If one uses off-the-shelf parts ... it is likely that the hours observed in the project (assuming no change in the content of the product) will be less than if one were to engineer a new part in-house. This conclusion has to be tempered with the realization that coordination costs may limit the savings from using old parts or farming work out.,1,
ST-150,O-184,SR-003,Unique parts add activities and cost and may affect time.,1,
ST-151,O-185,SR-003,"Unique parts allow suppliers to provide engineering work, reducing internal engineering effort",1,
ST-152,O-190,SR-003,"The engineers in the American projects thus spend time making a larger set of common parts fit into a new design. To the extent that common and carryover parts pose constraints for product design and engineering, the greater use of unique parts in the japanese projects suggests a possible advantage in product performance.",1,
ST-153,O-191,SR-003,"Suppliers are involved earlier in the process, and, for sophisticated components, play a critical role in innovation. This pattern of involvement, and the existence of longer term relationships in Europe, is consistent with the fact that many of the major innovations in the European auto industry have come from suppliers-e.g. ABS, traction control, turbo-charging, to name a few.
",1,
ST-154,O-192,SR-003,In-house unique parts require more engineering effort (comparing US to Japanese Automakers),1,
ST-155,O-194,SR-003,High unique parts in a project correlates with high supplier involvement,1,
ST-156,O-195,SR-003,High reliance on common parts correlates with low supplier involvement,1,
ST-157,O-196,SR-003,More complex systems require more hours,1,
ST-158,O-201,SR-003,"[Unique parts strategies with modularity which allow for] ""black-box"" design format with suppliers considered more effecient when supplier relationships are good and intensive involvement",1,
ST-160,O-208,SR-003,the combination of a high fraction of unique parts and significant engineering work done in-house creates a complex planning process that re-quires more time to complete.,1,
ST-161,O-210,SR-003,"use of more unique parts in designs generally improves the performance of the product. (possible tradeoffs with commonality, design quality, role of suppliers)",1,
ST-162,O-211,SR-004,"If each structural element implements several functions, it makes a device much more efficient",1,
ST-163,O-213,SR-004,"If automobiles were designed without function sharing they would be relatively large, heavy, expensive and unreliable.",1,
ST-165,O-215,SR-004,"mass-produced designs that exhibit function sharing are better than those that do not exhibit function sharing, as a general rule.",1,
ST-166,O-216,SR-004,"designs exhibiting function sharing will generally be less expensive to produce than designs that do not exhibit function sharing, as a result of fewer parts, easier assembly and less required adjustment and maintenance.",1,
ST-167,O-217,SR-004,"designs that share function generally perform better than those that do not, resulting from decreased size and weight.",1,
ST-168,O-218,SR-004,"function sharing is generally a poor design strategy for research devices and prototypes where debugging, adjustment and diagnosis are very important, because function sharing often causes device perform- ance parameters to be coupled in complicated ways to device physical parameters",1,
ST-169,O-219,SR-004,Modular designs make new problems easier to think about by decomposing them into seperate modules/components.,1,
ST-170,O-220,SR-004," Functionsharing is part of the perception of novelty, simplicity orinterest in a development",1,
ST-171,O-222,SR-004,Function sharing in a design is harder to acheive when a function's physical features are widely distributed over a part.,1,
ST-172,O-223,SR-004,"Function Sharing results in a design simplification procedure that allows the designer to think a modular, decomposed fashion, leading to subsequent design processing to make it more efficient",1,
ST-173,O-224,SR-004,[Function sharing] with the unbiased application of the physical-feature-based design operations will yield some novel designs,1,
ST-174,O-225,SR-005,"(OTS Parts) competition among suppliers should offer potential benefits for outsourcing both physical production activities and the information processing activities associated with product design. Conversely, a lack of competition among many suppliers (i.e., supplier concentration) creates an incentive for the manufacturer to internalize an activity in order to avoid the exercise of monopoly power by a supplier.",1,
ST-175,O-226,SR-005,"(OTS Parts) When a supplier provides goods or services to many customers, this supplier may achieve greater economies of scale than could a customer providing the same goods or services for itself. Achieving this benefit requires that the goods or services be standardized and that there be fewer suppliers than customers. External economies of scale are familiar in component production, yet may also be present in product design. For example, when designers can employ expensive and specialized automation tools, may be scale advantages to procuring these design services from a supplier who specializes in these activities.",1,
ST-176,O-227,SR-005,"(OTS Parts) for a given required lead-time, the capacity required for a shared resource can be substantially less than the sum of the capacities required to service multiple sources of demand independently. These economies apply to both design and production activities. Design activities tend to experience substantial variability in demand, because the timing of episodes of product development is often more “lumpy” than are the production schedules of the associated products.",1,
ST-177,O-228,SR-005,(Unique Parts) A firm pursuing a new market opportunity or employing a new product or process technology may need access to a new capability immediately.,1,
ST-178,O-229,SR-005,"(OTS Parts) Many such capabilities require time to procure internally and so, in the short term, a manufacturer must outsource an activity to a competent supplier.",1,
ST-179,O-230,SR-005,(Unique Parts) the acquisition of a new-to-the-firm capability which generally requires a financial investment of human or physical capital.,1,
ST-180,O-231,SR-005,(OTS Parts) One way to avoid the investment is to outsource design and/or production to afirm that already possesses the required capabilities,1,
ST-181,O-232,SR-005,"(Unique Parts) Asset Specificity and Potential for “HoldUp.” ... costs can be very high in the presence of specific assets, those assets that a supplier requires to provide a good or service and that are unique to the needs of a single customer ... In the presence of such assets, both supplier and customer face small-numbers bargaining and the associated threat of opportunistic behavior on the part of the other party.",1,
ST-182,O-234,SR-005,"(Unique Parts) A central idea in the field of competitive strategy is that a firm is a locus of competitively distinctive capabilities. Because these capabilities can be quite “sticky” (i.e.,difficulttotransfer), a firm can develop a competitive advantage by investing in their development",1,
ST-183,O-235,SR-005,"(Unique Parts) There are also appropriability issues associated with design and production activities. When outsourcing an activity, there is a risk that intellectual property may spill over to competitive firms (Teece1986). Similarly, outsourcing an activity to a supplier presents a risk that this supplier may develop into a competitor. These risks may motivate a firm to internalize activities critical to its competitive advantage.",1,
ST-184,O-236,SR-005,"(Unique Parts) Outsourcing generally requires that a contract can be written that anticipates likely contingencies. Creating a robust contract will be difficult in situations where there is a high likelihood of an unpredictable exogenous disturbance in the task requirements, perhaps due to an unexpected change in market requirements. When unanticipated disturbances occur, contract renegotiation is likely, with the associated small-numbers bargaining problems. As a result, the firm is likely to wish to internalize the activities subject to such disturbances",1,
ST-185,O-238,SR-005,firms that do not have the minimum efficient scale in any one material to benefit from outsourcing production of at least the frames made from that material.,1,
ST-187,O-240,SR-005,(Unique Parts) knowledge and skill related to a proprietary product design are highly specific assets. Allowing a supplier to harbor these assets presents high risks of hold-up and opportunistic behavior.,1,
ST-188,O-241,SR-005,"When a material and its associated fabrication process are new, designers must collaborate closely with those operating the production process to arrive at a design that both functions as desired and can be feasibly and economically produced. Therefore, we would predict that frames employing new materials would benefit from being both designed and produced by the same organizational entity.",1,
ST-190,O-243,SR-006,a high degree of modularity allows breaking down problems into simpler subproblems,1,
ST-191,O-245,SR-006,Many important advances in robotics research were achieved by overcoming existing “modularizations” and the corresponding boundaries between sub-fields of robotics.,1,
ST-193,O-248,SR-006,"This simple end-effector can reliably pick all but one of the challenge objects (the pencil cup) from the narrow, deep shelf bins. Grasping success is rather insensitive to the exact contact location with the object",1,
ST-196,O-252,SR-006,"failures result from the fact that the reaching movement is executed open-loop, accumulating a significant error in forward kinematics of the arm, resulting in a pose error of up to 1cm. This can be addressed easily by shifting ... towards more feedback",1,
ST-197,O-253,SR-006,"In five out of ten attempts, the robot toppled over the glue bottle. The bottle then required a reattempt from the top. In two cases the robot did not have enough time for a reattempt and lost points. As before, this failure case can be alleviated by additional feedback; the robot could detect the tumble and immediately change the strategy. Alternatively, a planner could reason about the tipping point of objects to pick a more stable approach direction for the pick.",1,
ST-198,O-254,SR-006,"Modules with defined interfaces allow to use, replace, compare, and recombine existing modules to solve a new problem.",1,
ST-199,O-256,SR-006,Building systems of arbitrary complexity without structuring them into modules is very difficult,1,
ST-200,O-257,SR-006,"A clearly partitioned modular system has an impact on the social organization of a project, too: developers can focus on their module, avoiding time-consuming communication with developers of other modules.",1,
ST-203,O-260,SR-006,"To ensure that the performance of the entire system is maximized, and to avoid making wrong commitments or addressing sub-problems that are unnecessarily difficult, all components of the system should be chosen to maximally exploit potential synergies between components. Identifying these synergies requires early integration",1,
ST-205,O-262,SR-006,Tight integration with Components requires overlapping knowledge from all team members,1,
ST-206,O-263,SR-006,"Team PFN participated in the APC2016 with a highly modular system. They relied on accurate industrial manipulators, powerful image segmentation and grasp detection based on deep neural networks to divide the problem according to the classical sense-plan-act paradigm, with good results.",1,
ST-207,O-264,SR-006,teams participating in the second edition were able to build upon the modularizations that have proven successful and focus on improving the modules.,1,
ST-208,O-265,SR-006,focusing on computation allows building highly complex systems with diverse behaviors in a short amount of time.,1,
ST-209,O-266,SR-006,Purely computational approaches to robotics (Coleman2015,1,
ST-210,O-267,SR-006,"Tailoring the hardware to a particular problem can reduce the required computation. Hardware solutions are often simple and robust, especially when uncertainty plays a dominant role.",1,
ST-211,O-268,SR-006,"These hands exploit passive compliance to robustly grasp a variety of objects. Although this comes at the cost of reduced controllability, compliance removes the computational requirements of grasping while increasing grasp performance.",1,
ST-212,O-270,SR-006,"we reduced the need for computation by increasing the number of degrees of freedom by mounting the robot arm on a mobile base. This allowed us to generate motion mostly through feedback control, rather than resorting to motion planning.",1,
ST-213,O-272,SR-006,the missing passive compliance of that system meant that collisions were more dangerous and had to be avoided which required more complex computation,1,
ST-214,O-273,SR-006,"There is a fundamental trade-off between complex reasoning and quick reactions. Given unlimited computational resources, a robot could plan over the state of all objects in the world, including models for dynamics and uncertainty. However in reality this is not feasible; the robot must abstract away some of this complexity to reason efficiently",1,
ST-215,O-274,SR-006,"Planning finds global solutions, often with theoretical guarantees, where controllers based on local feed back would fail.",1,
ST-216,O-276,SR-006,"Manipulation tasks, in particular, can be greatly simplified by exploiting feedback from contact with the environment",1,
ST-217,O-279,SR-007,"Architecture developed with KBE tools have reduced the design time in domains such as aerospace; however due to their complexity, the effort required to configure a tool for a specific application is significant, and thus their use is restricted to largely repeatable design problems.",1,
ST-219,O-281,SR-007,"[Use of Carry over] synthesis may be restricted to adding and removing connections, while in design with no architecture carry over there are no existing components or connections to remove [forcing new ones to be generated]",1,
ST-220,O-282,SR-007,A greater number of interfaces between components requires more redesign work,1,
ST-221,O-283,SR-007,Conserving architecture elements from previous designs [of a different category] can minimise risk and cost,1,
ST-222,O-284,SR-007,"While constructing the complete schema and architecture models, it became clear that the incorporation of the cyclone could be decoupled from many other parts of the architecture such as the wheels or the mains cable storage... In order to focus the computational synthesis on solving the problem at hand, therefore, the architecture of the SC-N200 vacuum cleaner was simplified by removing or collapsing all elements which were peripheral to the problem",1,
ST-223,O-285,SR-007,Increasing the complexity of the schema and the size of the design problem increases the likelihood that erroneous assumptions will have been included,1,
ST-224,O-288,SR-007,"The computational cost of the method remains an issue for large problems. Characterizing the scaling of the method is not straigntforward, since each problem modelled has a typical size of the architectures that might solve it, and different problems can have significantly different properties.",1,
ST-225,O-290,SR-008," By adopting modular design strategies, firms can take reponsibility for the desing and development of separate modules. Thus, they can develop new products at a faster pace",1,
ST-226,O-291,SR-008," Modularity, by simplifying design and development processes, would allow a greater division of labour across firms.",1,
ST-227,O-293,SR-008,modularity allows firms to focus their capabilites on a few modules .,1,
ST-229,O-295,SR-008,"The finer the detail with which modules’ interfaces are defined, the faster the pace of experimentation. ",1,
ST-230,O-296,SR-008,Modularity defines the organization of a problem into a divison of tasks which you can allot to decoupled teams,1,
ST-231,O-298,SR-008,"Modular designs generate more options, which generates more value",1,
ST-232,O-299,SR-008,Modular product design means that a particular decomposition of the design problem has been already decided upon,1,
ST-233,O-300,SR-008,independent teams can work independently on the various sub-problems without explicit coordination,1,
ST-236,O-303,SR-008,"slower' (i.e. less modular) search strategies catch up and reach better solutions as they can explore broader search spaces, exactly because they rely on less tightly defined 'design rules'",1,
ST-238,O-305,SR-008,"Modularity allows the decoupling of complex artefacts into less-complex, self-contained modules; each module, at the extreme, could become the sole business of specialist firms",1,
ST-239,O-306,SR-008,"Modularity makes complexity manageable by making possible to run experiments at the level of modules, rather than the entire artefact, and in parallel",1,
ST-240,O-307,SR-008,"modularity is ‘tolerant of uncertainty‘ because particular elements of a modular design may be changed after unforeseen contingencies emerge, as long as the design rules are obeyed",1,
ST-241,O-310,SR-008,"The embedded modularity of the three-shaft design enabled Rolls-Royce to exploit the same architecture, hence cutting the high developement costs of new engines, to cater for a broader range of power requirements",1,
ST-242,O-311,SR-008,"In fact, they were able to introduce incremental changes in the original architecture by (mixing and matching components) to meet a wider variety of aircraft makers' needs than their competitors. ",1,
ST-243,O-312,SR-008,"The adoption of modular design strategies brings about costs too. First, the creation and dissemination of design rules is a rather expensive activity",1,
ST-244,O-313,SR-008,Experimenting and testing on different modules is also costly,1,
ST-245,O-315,SR-008,"Developing modular architectures is more difficult than developing integral architecture as it requires a very precise understanding of product functionalities, how they are allocated to components, and how the components interact.",1,
ST-246,O-316,SR-008,the choice of product architecture should be related to a company‘s product strategy,1,
ST-247,O-317,SR-008,"If a company wants to stress product performances, then the most appropriate choice would be the intergral architecture, since global performance characteristics are optimized through this type of architecture",1,
ST-248,O-318,SR-008,"companies wanting to emphasize product change and variety, flexibility and upgradeability, may well choose a modular architecture",1,
ST-249,O-320,SR-008,"Modularity will make the system climb the local optimum faster, but cannot make it jump to another, higher valued, local optimum (inherent lock-in problem)",1,
