Statement_ID,Old_Observation_ID,Source_ID,Statement,Column1
ST-028,O-037,SR-001,"I illustrate the role [integral] architecture plays a role in global performance with the specific case of optimizing performance by minimizing the size and mass of a product; similar arguements can be made about other physical properties, such as natural frequency of vibration or electromagnetic radiation. ",
ST-029,O-038,SR-001,Two design strategies are frequently employed to minimize mass or size: function sharing and geometric nesting,
ST-030,O-039,SR-001,"An unfortunate consequence of nesting is the coupling of interfaces between components, the other hallmark of an integral architecture.",
ST-031,O-040,SR-001,"Integral architectures are sometimes employed to achieve very low unit costs, such as are required for disposable products",
ST-032,O-043,SR-001,"Modular architecture prefers a ""heavy weight system architect as team leader"" during the system-level design phase",
ST-033,O-044,SR-001,"Integral architecture prefers a ""heavy weight system integrator as a team leader"" durring the system-level design phase",
ST-034,O-045,SR-001,Modular architecture requires mapping functional elements to components during the system-level design phase,
ST-035,O-047,SR-001,Modular architecture requires defined interface standards and protocols in system-level design phase.,
ST-036,O-049,SR-001,Modular architecture allows division of effort to specialists during the system-level design phase.,
ST-037,O-050,SR-001,Integral architecture prefers to assign the subsystems to multidisciplinary teams during the system-level design phase,
ST-039,O-053,SR-001,Integral architecture requires constant interaction to evaluate performance and to manage implications of design changes during the detailed design phase,
ST-040,O-055,SR-001,"Modular architecture allows for design to be performed by ""supplier-like"" entities during the detailed design phase.",
ST-043,O-059,SR-001,Modular architecture allows component testing to be done independently during the detailed design phase.,
ST-044,O-062,SR-001,Modular architecture requires more more emphasis on the system-level design and planning phase,
ST-045,O-063,SR-001,"Integral architecture absorbs relatively less effort during system-level design, as the focus is on establishing clear targets for the performance of the overall system and on dividing the system into a relatively small number of integrated subsystems. ",
ST-046,O-064,SR-001,modular architecture can allow detailed design of each component to proceed almost independently and in parallel,
ST-047,O-065,SR-001,"For integral architecture, component designers all form a 'core team' and interact continually",
ST-048,O-067,SR-001,With Integral architecture - Testing of components cannot be completed in isolation; subsystems of components must be assembled and tested as a whole. ,
ST-049,O-068,SR-001,"For the modular product, product testing and refinement is a checking activity The tests are intended to detect unanticipated interactions among the components. These interactions are viewed as 'bugs' and their resolution is usually localized to changes to one or two components.",
ST-050,O-069,SR-001,"For the integral product, product testing and refinement is a tuning activity. If the product performance must be altered in some way, changes are likely to be required to many components",
ST-051,O-071,SR-001,Highly modular designs allow firms to divide their development and production organizations into specialized groups with a narrow focus & may also extend to the supplier network of the firm.,
ST-052,O-072,SR-001,[Modular architecture facilitates specialization within the firm and its suppliers] Such specialization may facilitate the development of deep expertise relative to a particular functional element and its associated component.,
ST-053,O-073,SR-001,"Modular architectures may require better systems engineering and planning skills, ",
ST-054,O-074,SR-001,Integral architectures may require better coordination and integration skills. ,
ST-055,O-076,SR-001,Modular architecture allows functional change to be made to a product in the field.,
ST-057,O-078,SR-001,Integral architecture causes variety to not be feasible without flexible component production processes.,
ST-058,O-079,SR-001,Products can be assembled in a combinatorial fashion from a relatively small set of component building blocks to create variety,
ST-060,O-081,SR-001,"Slot and bus modular architecture causes variety to be confined to the choices of components within a pre-defined overall product structure. One-to-one mapping of functional elements to components prevents function sharing-the simultaneous implementation of more than one functional element by a single component-potentially resulting in physical redundancy. Standardized interfaces (in Buss Modularity) may result in additional redundancy and physical ""overhead.""",
ST-061,O-082,SR-001,Modular-Sectional architecture allows variety in overall structure of the product possible,
ST-062,O-083,SR-001,Modular architecture allows components to be standardized across a product line,
ST-063,O-084,SR-001,Modular architecture allows firms to use standard components provided by suppliers.,
ST-064,O-085,SR-001,Modular Architecture allows interfaces to adhere to an industry standard,
ST-066,O-088,SR-001,Modular architectures may require additional mass and space to decouple interfaces,
ST-067,O-089,SR-001,"Modular Architecture, when mapped with one function to each component, prevents function sharing, potentially resulting in physical redundancy",
ST-070,O-093,SR-001,A potential negative implication of a modular product architecture is the risk of creating organizational barriers to architectural innovation.,
ST-071,O-094,SR-001,Modular Architecture requires the top-down creation of a global product architecture.,
ST-072,O-096,SR-001,"A modular architecture enables a bureaucratic approach to organizing and managing development. This approach, for relatively well understood technologies, allows the complexity of the product development process to be dramatically reduced",
ST-073,O-098,SR-002,Modularization introduces a variety of products to different markets by reducing the internal variety of components and processes of a company,
ST-074,O-099,SR-002,"Different companies undertake modularization efforts for different reasons, ... have shown reductions in costs and development times and ... have shown the higher agility from modularity",
ST-075,O-100,SR-002,... showed the effects of product modularity on service and maintainance,
ST-076,O-101,SR-002,Modularity can reduce the time for new product development,
ST-077,O-102,SR-002,"We found an increase in initial time investment for the development of product families, leading to an increased initial time to market but also an increase of commonality and component reuse. This lowered development costs per unit and reduced component variety , leading to a smaller variety of production processes and subsequent lower costs.",
ST-078,O-103,SR-002,Modularity can cause longer development times and greater efforts needed for the initial modular architecture or platform,
ST-079,O-105,SR-002,"communal use of components can reduce quantity of parts or code numbers , which facilitates parts administration, thereby lowering development and manufacturing times, and therefore costs",
ST-080,O-106,SR-002,"communal parts when extended to large assemblies decreased performance levels and potentially increased costs become possible for some variants. Each module must be sized to the largest in its partition, taking into consideration the range of performance targets needed and partitioned into several module sizes supplying each partition",
ST-081,O-107,SR-002,a focus on commonality makes it possible to use modules in different product variants,
ST-082,O-108,SR-002,"less development costs, development times, testing costs, and certification costs are all positive effects of modularity",
ST-083,O-109,SR-002,commonality also allows for reducing generational diversity by using modules across product family generations.,
ST-084,O-110,SR-002,Modules with higher volume (as a result of reuse) increases the module maturity incrementally across generations (failure rates decrease as a result of periodic reworkings on these modules over time),
ST-085,O-111,SR-002,"Highly decoupled modules allow simplified adaptations to: new applications, a simpler module upgrade, or the expansion into a product family",
ST-086,O-112,SR-002,"initial platform development requires time, which can be amortized by the shorter execution times for individual product variants by introducing a configure to order strategy",
ST-087,O-113,SR-002,modularity requires some effort for the maintenance of the modular kit in checking compatibility throughout the product family when adapting and further developing modules.,
ST-088,O-114,SR-002,decoupling individual modules and their connections via clearly defined interfaces results in further benefits of less design modifications when developing a new product variant,
ST-089,O-115,SR-002,"Modularity can allow for simpler development processes, since the amount of repeated tasks, such as documentation decreases.",
ST-090,O-116,SR-002,"Modularity: Development tasks can be better allocated to development teams with deep functional expertise, and the organizational structure can be adapted more easily to the activities",
ST-091,O-118,SR-002,Modularity also enables outsourcing of development tasks to suppliers so that companies can concentrate on their own core competencies,
ST-092,O-119,SR-002,"Highly Decoupled modules supports Isolating modules- which allows separate testing of the individual modules, thereby reducing product-level iterative redesign loops and detecting design defects failure earlier.",
ST-093,O-121,SR-002,... found a lower ability to innovate because of the static boundaries in the product architecture,
ST-094,O-122,SR-002,"Modularity can support enhanced freedom in development, because developers can concentrate exclusively on one module, which allows for a higher degree of innovation",
ST-095,O-123,SR-002,"rigid systems of design rules necessary for product family structure can inhibit the ability to innovate, but innovation within these rules may be faster",
ST-096,O-125,SR-002,"When considering procurement, numerous authors point to the reductions of inventories due to modularity ... allocated this reduction to the reuse of same components",
ST-097,O-126,SR-002,"When many functions are bundled into one monolithic module and used in higher volumes across many product variants, then each variant does not need all the module functionality. unnecessary high costs can be placed onto the module.",
ST-098,O-128,SR-002,"Commonality decreases the number of unique processes, thereby facilitating automation",
ST-099,O-129,SR-002,One of the most important effects of modularity is the increase in production lot size,
ST-100,O-131,SR-002,The proportional curve between the increase in modularity and the reduced number of parts led to a decrease in the test and set-up cost per unit,
ST-101,O-132,SR-002,Increasing commonality can create a more balanced machine utilization in production,
ST-102,O-133,SR-002,Modular production processes enable parallelization which reduces throughput time,
ST-103,O-135,SR-002,Another indirect benefit [of modularity] is the reduction of product numbers ,
ST-104,O-136,SR-002,Modularity supports Postponement as a possible strategy for a late variant formation in different business areas.,
ST-105,O-137,SR-002,Introducing modularity results in better corporate risk distribution.,
ST-106,O-138,SR-002,"To provide a better communal usability of modules, for example, two approaches are possible: Either the interfaces must be standardized or the module has to be sized to meet the product variant with the highest requirements",
ST-107,O-139,SR-002,Interface standardization and oversizing enable commonality,
ST-108,O-140,SR-002,interface standardization and function binding enable combinability,
ST-109,O-141,SR-002,Decoupling enables separability,
ST-110,O-142,SR-002,Decoupling and Interface standarization increase initial investment time to develop- may increase or lower total development time.,
ST-111,O-143,SR-002,Decouplings's ease of mapping organizations to tasks allows for outsourcing development tasks- may postively or negatively influnce development time,
ST-112,O-144,SR-002,"Decoupling & Interface standardization increases design freedom in modules, but decreases over entire system to effect product innovation",
ST-113,O-145,SR-002,"Decoupling increases adaptability, upgradability and ease of mapping organisation to tasks. It lowers developmental risk",
ST-114,O-146,SR-002,Interface standardization increases commonality and lowers design freedom,
ST-115,O-147,SR-002,Commonality increases reuse which lends itself to greater reliablility and varient derivation while decreasing component variety,
ST-116,O-148,SR-002,"Commonality encourages Oversizing which leads to inefficiency of volume, weight and features",
ST-117,O-149,SR-002,Commonality increases predictability and facilitates maintaining a larger stock size which can benefit from economies of scale,
ST-119,O-151,SR-002,Increasing commonality of modules increases component reuse and development costs per unit decreased,
ST-120,O-152,SR-002,"Decoupling modules increases module reuse and adaptability, which allows for easier derivation of new products, leading to lower development times",
ST-121,O-153,SR-002,"Modularity allows for decoupling development tasks which makes it possible to develop in parallel and to outsouce, leading to shorter development times resulting in an earlier start of production planning and a shorter time to market",
ST-122,O-154,SR-002,Commonality and component reuse also raise reliability and the maturity of products,
ST-123,O-155,SR-002,Commonality via the oversizing of modules may decrease the efficiency of the product,
ST-124,O-156,SR-002,"the modularity impact model shows possible outcomes when increasing commonality of modules. Possible outcomes may be reduced amount of code numbers and component variety, making it possible to reduce the variety of differentiating stock items for parts and spare parts and with it stock and purchasing costs.",
ST-125,O-157,SR-002,"Increasing commonality allows for greater lot sizes, reduces set-up times and queuing delays, and also saves on inventory costs.",
ST-126,O-158,SR-002,"Decreasing component variety in combination with standard interfaces and function binding leads to a reduced variety of production processes with fewer investments in tools and jigs, which lowers both inventory costs and production costs per unit",
ST-127,O-159,SR-002,"Oversizing to increase commonality of modules may cause needless production steps, which in turn may increase production costs per unit.",
ST-128,O-160,SR-002,"For example, the oversizing tradeoff is typically applied on low volume products in which the increase of material costs is outweighed by the reductions in production inventory, tooling, and downtime.",
ST-130,O-162,SR-002,Decoupling Decreases Development Risk,
ST-131,O-163,SR-002,Modularity Increases Initial Time Investment (67%) and Development Time (78%),
ST-132,O-164,SR-002,"Decoupling increases ease of mapping organisation to tasks, parallel development, start of production planning, outsourcing of development tasks, product adaptation, adaptability upgradeability, development time, and ease of variant derivation",
ST-133,O-165,SR-002,"Interface Standardization decreases freedom of design (67%), Product Innovation (44%), and decreases Innovation (economic impact) (44%)",
ST-134,O-166,SR-002,Interface Standardization increases Imnovation (56%),
ST-136,O-168,SR-002,"Commonality decreases component variety (100%), Failure rate (67%), code numbers (67%), parts administration (67%), development costs per unit (100%), and parts administration time (44%)",
ST-138,O-170,SR-002,"Commonality decreases component variety (100%), code numbers (67%), stock (44%), stock costs (56%), no. of parts and spare parts (56%), spare parts costs (??), no. of suppliers (67%), no. of purchase orders (56%), and procurement costs (67%)",
ST-139,O-171,SR-002,"Commonality increases lot size (78%), predictability (67%), purchasing conditions (56%), ease of supplier management (56%), dependency on supplier (67%)",
ST-140,O-172,SR-002,Decoupling increases parallel production processes and manufacturing flexibility,
ST-142,O-174,SR-002,Combinability increases postponement and manufacturing flexibility,
ST-143,O-175,SR-002,Commonality increases postponement and manufacturing flexibilty,
ST-145,O-177,SR-002,"Commonality decreases component variety (100%), Set up changes (57%), Set up time queing delays (57%, inventory costs (71%), variety of production processes (57%), tool/jig investments (57%), inventory costs (71%)",
ST-146,O-178,SR-002,Oversizing increases no. of needless production steps,
ST-147,O-179,SR-002,"Interface Standardization decreases variety of production processes (57%), Tool/jig investments (57%), and inventory costs (71%)",
ST-148,O-180,SR-002,"Function binding decreases variety of production processes (57%), tool / jig investments (57%) and inventory costs (71%)",
ST-149,O-182,SR-003,If one uses off-the-shelf parts ... it is likely that the hours observed in the project (assuming no change in the content of the product) will be less than if one were to engineer a new part in-house. This conclusion has to be tempered with the realization that coordination costs may limit the savings from using old parts or farming work out.,
ST-150,O-184,SR-003,Unique parts add activities and cost and may affect time.,
ST-151,O-185,SR-003,"Unique parts allow suppliers to provide engineering work, reducing internal engineering effort",
ST-152,O-190,SR-003,"The engineers in the American projects thus spend time making a larger set of common parts fit into a new design. To the extent that common and carryover parts pose constraints for product design and engineering, the greater use of unique parts in the japanese projects suggests a possible advantage in product performance.",
ST-153,O-191,SR-003,"Suppliers are involved earlier in the process, and, for sophisticated components, play a critical role in innovation. This pattern of involvement, and the existence of longer term relationships in Europe, is consistent with the fact that many of the major innovations in the European auto industry have come from suppliers-e.g. ABS, traction control, turbo-charging, to name a few.
",
ST-154,O-192,SR-003,In-house unique parts require more engineering effort (comparing US to Japanese Automakers),
ST-155,O-194,SR-003,High unique parts in a project correlates with high supplier involvement,
ST-156,O-195,SR-003,High reliance on common parts correlates with low supplier involvement,
ST-157,O-196,SR-003,More complex systems require more hours,
ST-158,O-201,SR-003,"[Unique parts strategies with modularity which allow for] ""black-box"" design format with suppliers considered more effecient when supplier relationships are good and intensive involvement",
ST-160,O-208,SR-003,the combination of a high fraction of unique parts and significant engineering work done in-house creates a complex planning process that re-quires more time to complete.,
ST-161,O-210,SR-003,"use of more unique parts in designs generally improves the performance of the product. (possible tradeoffs with commonality, design quality, role of suppliers)",
ST-162,O-211,SR-004,"If each structural element implements several functions, it makes a device much more efficient",
ST-163,O-213,SR-004,"If automobiles were designed without function sharing they would be relatively large, heavy, expensive and unreliable.",
ST-165,O-215,SR-004,"mass-produced designs that exhibit function sharing are better than those that do not exhibit function sharing, as a general rule.",
ST-166,O-216,SR-004,"designs exhibiting function sharing will generally be less expensive to produce than designs that do not exhibit function sharing, as a result of fewer parts, easier assembly and less required adjustment and maintenance.",
ST-167,O-217,SR-004,"designs that share function generally perform better than those that do not, resulting from decreased size and weight.",
ST-168,O-218,SR-004,"function sharing is generally a poor design strategy for research devices and prototypes where debugging, adjustment and diagnosis are very important, because function sharing often causes device perform- ance parameters to be coupled in complicated ways to device physical parameters",
ST-169,O-219,SR-004,Modular designs make new problems easier to think about by decomposing them into seperate modules/components.,
ST-170,O-220,SR-004," Functionsharing is part of the perception of novelty, simplicity orinterest in a development",
ST-171,O-222,SR-004,Function sharing in a design is harder to acheive when a function's physical features are widely distributed over a part.,
ST-172,O-223,SR-004,"Function Sharing results in a design simplification procedure that allows the designer to think a modular, decomposed fashion, leading to subsequent design processing to make it more efficient",
ST-173,O-224,SR-004,[Function sharing] with the unbiased application of the physical-feature-based design operations will yield some novel designs,
ST-174,O-225,SR-005,"(OTS Parts) competition among suppliers should offer potential benefits for outsourcing both physical production activities and the information processing activities associated with product design. Conversely, a lack of competition among many suppliers (i.e., supplier concentration) creates an incentive for the manufacturer to internalize an activity in order to avoid the exercise of monopoly power by a supplier.",
ST-175,O-226,SR-005,"(OTS Parts) When a supplier provides goods or services to many customers, this supplier may achieve greater economies of scale than could a customer providing the same goods or services for itself. Achieving this benefit requires that the goods or services be standardized and that there be fewer suppliers than customers. External economies of scale are familiar in component production, yet may also be present in product design. For example, when designers can employ expensive and specialized automation tools, may be scale advantages to procuring these design services from a supplier who specializes in these activities.",
ST-176,O-227,SR-005,"(OTS Parts) for a given required lead-time, the capacity required for a shared resource can be substantially less than the sum of the capacities required to service multiple sources of demand independently. These economies apply to both design and production activities. Design activities tend to experience substantial variability in demand, because the timing of episodes of product development is often more “lumpy” than are the production schedules of the associated products.",
ST-177,O-228,SR-005,(Unique Parts) A firm pursuing a new market opportunity or employing a new product or process technology may need access to a new capability immediately.,
ST-178,O-229,SR-005,"(OTS Parts) Many such capabilities require time to procure internally and so, in the short term, a manufacturer must outsource an activity to a competent supplier.",
ST-179,O-230,SR-005,(Unique Parts) the acquisition of a new-to-the-firm capability which generally requires a financial investment of human or physical capital.,
ST-180,O-231,SR-005,(OTS Parts) One way to avoid the investment is to outsource design and/or production to afirm that already possesses the required capabilities,
ST-181,O-232,SR-005,"(Unique Parts) Asset Specificity and Potential for “HoldUp.” ... costs can be very high in the presence of specific assets, those assets that a supplier requires to provide a good or service and that are unique to the needs of a single customer ... In the presence of such assets, both supplier and customer face small-numbers bargaining and the associated threat of opportunistic behavior on the part of the other party.",
ST-182,O-234,SR-005,"(Unique Parts) A central idea in the field of competitive strategy is that a firm is a locus of competitively distinctive capabilities. Because these capabilities can be quite “sticky” (i.e.,difficulttotransfer), a firm can develop a competitive advantage by investing in their development",
ST-183,O-235,SR-005,"(Unique Parts) There are also appropriability issues associated with design and production activities. When outsourcing an activity, there is a risk that intellectual property may spill over to competitive firms (Teece1986). Similarly, outsourcing an activity to a supplier presents a risk that this supplier may develop into a competitor. These risks may motivate a firm to internalize activities critical to its competitive advantage.",
ST-184,O-236,SR-005,"(Unique Parts) Outsourcing generally requires that a contract can be written that anticipates likely contingencies. Creating a robust contract will be difficult in situations where there is a high likelihood of an unpredictable exogenous disturbance in the task requirements, perhaps due to an unexpected change in market requirements. When unanticipated disturbances occur, contract renegotiation is likely, with the associated small-numbers bargaining problems. As a result, the firm is likely to wish to internalize the activities subject to such disturbances",
ST-185,O-238,SR-005,firms that do not have the minimum efficient scale in any one material to benefit from outsourcing production of at least the frames made from that material.,
ST-187,O-240,SR-005,(Unique Parts) knowledge and skill related to a proprietary product design are highly specific assets. Allowing a supplier to harbor these assets presents high risks of hold-up and opportunistic behavior.,
ST-188,O-241,SR-005,"When a material and its associated fabrication process are new, designers must collaborate closely with those operating the production process to arrive at a design that both functions as desired and can be feasibly and economically produced. Therefore, we would predict that frames employing new materials would benefit from being both designed and produced by the same organizational entity.",
ST-190,O-243,SR-006,a high degree of modularity allows breaking down problems into simpler subproblems,
ST-191,O-245,SR-006,Many important advances in robotics research were achieved by overcoming existing “modularizations” and the corresponding boundaries between sub-fields of robotics.,
ST-193,O-248,SR-006,"This simple end-effector can reliably pick all but one of the challenge objects (the pencil cup) from the narrow, deep shelf bins. Grasping success is rather insensitive to the exact contact location with the object",
ST-196,O-252,SR-006,"failures result from the fact that the reaching movement is executed open-loop, accumulating a significant error in forward kinematics of the arm, resulting in a pose error of up to 1cm. This can be addressed easily by shifting ... towards more feedback",
ST-197,O-253,SR-006,"In five out of ten attempts, the robot toppled over the glue bottle. The bottle then required a reattempt from the top. In two cases the robot did not have enough time for a reattempt and lost points. As before, this failure case can be alleviated by additional feedback; the robot could detect the tumble and immediately change the strategy. Alternatively, a planner could reason about the tipping point of objects to pick a more stable approach direction for the pick.
",
ST-198,O-254,SR-006,"Modules with defined interfaces allow to use, replace, compare, and recombine existing modules to solve a new problem.",
ST-199,O-256,SR-006,Building systems of arbitrary complexity without structuring them into modules is very difficult,
ST-200,O-257,SR-006,"A clearly partitioned modular system has an impact on the social organization of a project, too: developers can focus on their module, avoiding time-consuming communication with developers of other modules.",
ST-203,O-260,SR-006,"To ensure that the performance of the entire system is maximized, and to avoid making wrong commitments or addressing sub-problems that are unnecessarily difficult, all components of the system should be chosen to maximally exploit potential synergies between components. Identifying these synergies requires early integration",
ST-205,O-262,SR-006,Tight integration with Components requires overlapping knowledge from all team members,
ST-206,O-263,SR-006,"Team PFN participated in the APC2016 with a highly modular system. They relied on accurate industrial manipulators, powerful image segmentation and grasp detection based on deep neural networks to divide the problem according to the classical sense-plan-act paradigm, with good results.",
ST-207,O-264,SR-006,teams participating in the second edition were able to build upon the modularizations that have proven successful and focus on improving the modules.,
ST-208,O-265,SR-006,focusing on computation allows building highly complex systems with diverse behaviors in a short amount of time.,
ST-209,O-266,SR-006,Purely computational approaches to robotics (Coleman2015; LaValle2006;Miller and Allen2004) also have the advantage of potentially being hardware-agnostic.,
ST-210,O-267,SR-006,"Tailoring the hardware to a particular problem can reduce the required computation. Hardware solutions are often simple and robust, especially when uncertainty plays a dominant role.",
ST-211,O-268,SR-006,"These hands exploit passive compliance to robustly grasp a variety of objects. Although this comes at the cost of reduced controllability, compliance removes the computational requirements of grasping while increasing grasp performance.",
ST-212,O-270,SR-006,"we reduced the need for computation by increasing the number of degrees of freedom by mounting the robot arm on a mobile base. This allowed us to generate motion mostly through feedback control, rather than resorting to motion planning.",
ST-213,O-272,SR-006,the missing passive compliance of that system meant that collisions were more dangerous and had to be avoided which required more complex computation,
ST-214,O-273,SR-006,"There is a fundamental trade-off between complex reasoning and quick reactions. Given unlimited computational resources, a robot could plan over the state of all objects in the world, including models for dynamics and uncertainty. However in reality this is not feasible; the robot must abstract away some of this complexity to reason efficiently",
ST-215,O-274,SR-006,"Planning finds global solutions, often with theoretical guarantees, where controllers based on local feed back would fail.",
ST-216,O-276,SR-006,"Manipulation tasks, in particular, can be greatly simplified by exploiting feedback from contact with the environment",
ST-217,O-279,SR-007,"Architecture developed with KBE tools have reduced the design time in domains such as aerospace; however due to their complexity, the effort required to configure a tool for a specific application is significant, and thus their use is restricted to largely repeatable design problems.",
ST-219,O-281,SR-007,"[Use of Carry over] synthesis may be restricted to adding and removing connections, while in design with no architecture carry over there are no existing components or connections to remove [forcing new ones to be generated]",
ST-220,O-282,SR-007,A greater number of interfaces between components requires more redesign work,
ST-221,O-283,SR-007,Conserving architecture elements from previous designs [of a different category] can minimise risk and cost,
ST-222,O-284,SR-007,"While constructing the complete schema and architecture models, it became clear that the incorporation of the cyclone could be decoupled from many other parts of the architecture such as the wheels or the mains cable storage... In order to focus the computational synthesis on solving the problem at hand, therefore, the architecture of the SC-N200 vacuum cleaner was simplified by removing or collapsing all elements which were peripheral to the problem",
ST-223,O-285,SR-007,Increasing the complexity of the schema and the size of the design problem increases the likelihood that erroneous assumptions will have been included,
ST-224,O-288,SR-007,"The computational cost of the method remains an issue for large problems. Characterizing the scaling of the method is not straigntforward, since each problem modelled has a typical size of the architectures that might solve it, and different problems can have significantly different properties.",
ST-225,O-290,SR-008," By adopting modular design strategies, firms can take reponsibility for the desing and development of separate modules. Thus, they can develop new products at a faster pace",
ST-226,O-291,SR-008," Modularity, by simplifying design and development processes, would allow a greater division of labour across firms.",
ST-227,O-293,SR-008,modularity allows firms to focus their capabilites on a few modules .,
ST-229,O-295,SR-008,"The finer the detail with which modules’ interfaces are defined, the faster the pace of experimentation. ",
ST-230,O-296,SR-008,Modularity defines the organization of a problem into a divison of tasks which you can allot to decoupled teams,
ST-231,O-298,SR-008,"Modular designs generate more options, which generates more value",
ST-232,O-299,SR-008,Modular product design means that a particular decomposition of the design problem has been already decided upon,
ST-233,O-300,SR-008,independent teams can work independently on the various sub-problems without explicit coordination,
ST-236,O-303,SR-008,"slower' (i.e. less modular) search strategies catch up and reach better solutions as they can explore broader search spaces, exactly because they rely on less tightly defined 'design rules'",
ST-238,O-305,SR-008,"Modularity allows the decoupling of complex artefacts into less-complex, self-contained modules; each module, at the extreme, could become the sole business of specialist firms",
ST-239,O-306,SR-008,"Modularity makes complexity manageable by making possible to run experiments at the level of modules, rather than the entire artefact, and in parallel",
ST-240,O-307,SR-008,"modularity is ‘tolerant of uncertainty‘ because particular elements of a modular design may be changed after unforeseen contingencies emerge, as long as the design rules are obeyed",
ST-241,O-310,SR-008,"The embedded modularity of the three-shaft design enabled Rolls-Royce to exploit the same architecture, hence cutting the high developement costs of new engines, to cater for a broader range of power requirements",
ST-242,O-311,SR-008,"In fact, they were able to introduce incremental changes in the original architecture by (mixing and matching components) to meet a wider variety of aircraft makers' needs than their competitors. ",
ST-243,O-312,SR-008,"The adoption of modular design strategies brings about costs too. First, the creation and dissemination of design rules is a rather expensive activity",
ST-244,O-313,SR-008,Experimenting and testing on different modules is also costly,
ST-245,O-315,SR-008,"Developing modular architectures is more difficult than developing integral architecture as it requires a very precise understanding of product functionalities, how they are allocated to components, and how the components interact.",
ST-246,O-316,SR-008,the choice of product architecture should be related to a company‘s product strategy,
ST-247,O-317,SR-008,"If a company wants to stress product performances, then the most appropriate choice would be the intergral architecture, since global performance characteristics are optimized through this type of architecture",
ST-248,O-318,SR-008,"companies wanting to emphasize product change and variety, flexibility and upgradeability, may well choose a modular architecture",
ST-249,O-320,SR-008,"Modularity will make the system climb the local optimum faster, but cannot make it jump to another, higher valued, local optimum (inherent lock-in problem)",
ST-251,O-323,SR-008,"Relying on the modular architecture of the established product, Fujitsu, like other firms, relied on a decoupled network of external suppliers. However, unlike its compe- titors, Fujitsu continued to invest ‘in systems knowledge and materials and component technology in its R&D labs’ ... It enabled the firm to master the new, fast-moving technology and to navigate the dangerous waters of architectural innovation stemming from it. By knowing more than it needed for its own design and production, Fujitsu managed to avoid competency traps such as those described by Chesbrough and Kusunoki (2001) and Henderson and Clark (1990). Brusoni et al. (2001) argued that cases like Fujitsu’s show that decoupled, modular networks coordinated through markets and the exchange of codified knowledge (Sturgeon, 2002) are but particular cases of a more general model, which link firms’ knowledge and production boundaries. ",
ST-252,O-324,SR-008,products characterized by unpredictable interdependencies across components as well as imbalances at the technological level- require tightly organized firms,
ST-253,O-325,SR-008,Truly modular networks *can* emerge only when product interdependencies are predictable and when the specialized bodies of knowledge are at the same stage of development,
ST-254,O-327,SR-008,We show that the speed of adaptation can give evolutionary advantages even though overmodular search strategies may not be the most efficient problem-solving strategy.,
ST-255,O-328,SR-008,modular problem solving strategies instead prevent organizations from rapidly abandoning their established way of doing things,
ST-256,O-329,SR-008,*Provided statistics* shows that sharp reducitons of complxity and time of search can be obtained by accepting sub-optimal 'satisficing' solutions,
